store,app_id,rating,title,content,user,date,thumbs_up,app_version,app_name,full_text,theme,is_feature_request,india_signal
play,com.EAGINsoftware.dejaloYa,1,,"The list of vendors and data this app sells to is longer than a supermarket receipt after you accidentally go shopping while hungry. Alarming! especially for an app that claims to help with your health. Edit: The developer clarified that data isn’t sold but shared with partners. However, the list of partners is long, many ""legitimate interest"" purposes are enabled by default, and there’s no simple ""reject all"" option.",Gerog Mol,2026-03-07 00:49:00,1,14.0.8,QuitNow: Quit smoking for good,". The list of vendors and data this app sells to is longer than a supermarket receipt after you accidentally go shopping while hungry. Alarming! especially for an app that claims to help with your health. Edit: The developer clarified that data isn’t sold but shared with partners. However, the list of partners is long, many ""legitimate interest"" purposes are enabled by default, and there’s no simple ""reject all"" option.",data_privacy,False,False
play,com.EAGINsoftware.dejaloYa,1,,Hello team. i would likely to have my money back because in app it says unlock all health achievements but there is no more. and i think its money swindling. please. hello again team. no response soo far from the mail i have sent to you. please refund my money,Murad Hasan,2025-12-09 19:11:51,2,12.24.4,QuitNow: Quit smoking for good,. Hello team. i would likely to have my money back because in app it says unlock all health achievements but there is no more. and i think its money swindling. please. hello again team. no response soo far from the mail i have sent to you. please refund my money,paywall_pricing,False,False
play,com.EAGINsoftware.dejaloYa,1,,subscription nagware,Isaac Sutcliffe,2025-10-16 17:13:17,0,,QuitNow: Quit smoking for good,. subscription nagware,subscription_issues,False,False
play,com.EAGINsoftware.dejaloYa,1,,It keeos saying something bad happened when I try to sign up.,Au Sabaw,2025-10-16 12:49:21,0,,QuitNow: Quit smoking for good,. It keeos saying something bad happened when I try to sign up.,login_account,False,False
play,com.EAGINsoftware.dejaloYa,2,,this app was good many years ago. I used it before to quit. but now everything is paywalled it's not the same. not getting the same push from it anymore.,L B,2025-06-17 06:33:25,2,12.2.0,QuitNow: Quit smoking for good,. this app was good many years ago. I used it before to quit. but now everything is paywalled it's not the same. not getting the same push from it anymore.,paywall_pricing,False,False
play,com.EAGINsoftware.dejaloYa,1,,ads are really annoying,Robert T,2025-05-05 19:32:54,0,11.8.0,QuitNow: Quit smoking for good,. ads are really annoying,ads,False,False
play,com.EAGINsoftware.dejaloYa,1,,Didn't help,Diana Cudby,2025-02-26 09:43:01,0,,QuitNow: Quit smoking for good,. Didn't help,content_quality,False,False
play,com.EAGINsoftware.dejaloYa,1,,Stupid,Russell noonan,2025-01-15 15:50:40,0,10.6.1,QuitNow: Quit smoking for good,. Stupid,india_context,False,False
play,com.EAGINsoftware.dejaloYa,1,,Subscription upfront? Funny,Zloy Indy,2024-11-22 03:55:36,1,,QuitNow: Quit smoking for good,. Subscription upfront? Funny,subscription_issues,False,False
play,com.EAGINsoftware.dejaloYa,1,,My account has completely disappeared,Mark Dunstall,2024-11-07 14:35:00,0,10.1.1,QuitNow: Quit smoking for good,. My account has completely disappeared,login_account,False,False
play,com.EAGINsoftware.dejaloYa,1,,It glitched from the very start,Angela Kraleva,2024-11-05 11:11:11,0,,QuitNow: Quit smoking for good,. It glitched from the very start,crashes_bugs,False,False
play,com.EAGINsoftware.dejaloYa,1,,"This app is a complete waste of money! 😤 I can't even reset the date and see the correct count. I could do that simple calculation in Excel myself for free, and I could even schedule notifications to encourage myself to keep going. #NotWorthIt #TotalRipOff",Ingrida BmB,2024-07-26 19:54:44,9,8.4.1,QuitNow: Quit smoking for good,". This app is a complete waste of money! 😤 I can't even reset the date and see the correct count. I could do that simple calculation in Excel myself for free, and I could even schedule notifications to encourage myself to keep going. #NotWorthIt #TotalRipOff",paywall_pricing,False,False
play,com.EAGINsoftware.dejaloYa,1,,"This app is a complete waste of money! 😤 I can't even reset the date and see the correct count. I could do that simple calculation in Excel myself for free, and I could even schedule notifications to encourage myself to keep going. #NotWorthIt #TotalRipOff",Ingrida BmB,2024-07-26 19:54:44,9,8.4.1,QuitNow: Quit smoking for good,". This app is a complete waste of money! 😤 I can't even reset the date and see the correct count. I could do that simple calculation in Excel myself for free, and I could even schedule notifications to encourage myself to keep going. #NotWorthIt #TotalRipOff",notifications,False,False
play,com.EAGINsoftware.dejaloYa,1,,I used it in the past and I can't believe it's so expensive now! For something that used to be free.... running on ads... I also like how you took away all the health timers in this free version.... how times have changed. As someone who has experienced everything you had to offer. I'll warn people that the full version is definitely not worth the money... how do you justify that price? It's hilarious! You should be embarrassed.,Easier Animate,2024-07-26 09:10:57,29,8.8.0,QuitNow: Quit smoking for good,. I used it in the past and I can't believe it's so expensive now! For something that used to be free.... running on ads... I also like how you took away all the health timers in this free version.... how times have changed. As someone who has experienced everything you had to offer. I'll warn people that the full version is definitely not worth the money... how do you justify that price? It's hilarious! You should be embarrassed.,paywall_pricing,False,False
play,com.EAGINsoftware.dejaloYa,1,,I used it in the past and I can't believe it's so expensive now! For something that used to be free.... running on ads... I also like how you took away all the health timers in this free version.... how times have changed. As someone who has experienced everything you had to offer. I'll warn people that the full version is definitely not worth the money... how do you justify that price? It's hilarious! You should be embarrassed.,Easier Animate,2024-07-26 09:10:57,29,8.8.0,QuitNow: Quit smoking for good,. I used it in the past and I can't believe it's so expensive now! For something that used to be free.... running on ads... I also like how you took away all the health timers in this free version.... how times have changed. As someone who has experienced everything you had to offer. I'll warn people that the full version is definitely not worth the money... how do you justify that price? It's hilarious! You should be embarrassed.,ads,False,False
play,com.EAGINsoftware.dejaloYa,1,,the constant ads stress me out and make me want to smoke,Stevie P,2024-05-07 23:33:18,0,7.1.5,QuitNow: Quit smoking for good,. the constant ads stress me out and make me want to smoke,ads,False,False
play,com.EAGINsoftware.dejaloYa,1,,"You can not get a refund at all, I used the app for 1 minute and there is no way to even contact the support.",Naim,2024-05-05 08:17:41,0,7.1.5,QuitNow: Quit smoking for good,". You can not get a refund at all, I used the app for 1 minute and there is no way to even contact the support.",paywall_pricing,False,False
play,com.EAGINsoftware.dejaloYa,1,,I had the premium version and I used Facebook to login and now whenever I try to log in it sends an error message with a try again. I have 3 years of progress lost on the app. And there's no way to contact the support from the login page #### UPDATE: I sent an email and haven't gotten a response.,Anas Buhayh,2024-04-25 04:25:30,6,6.68.1,QuitNow: Quit smoking for good,. I had the premium version and I used Facebook to login and now whenever I try to log in it sends an error message with a try again. I have 3 years of progress lost on the app. And there's no way to contact the support from the login page #### UPDATE: I sent an email and haven't gotten a response.,login_account,False,False
play,com.EAGINsoftware.dejaloYa,2,,It's a nice app but to charge 20 dollars a year for a timer and some achievements seems quite steep. This app could be done by a dozen college students in a week.,GAMEPLAY ONE “G ONE”,2024-03-06 20:02:18,2,6.67.3,QuitNow: Quit smoking for good,. It's a nice app but to charge 20 dollars a year for a timer and some achievements seems quite steep. This app could be done by a dozen college students in a week.,paywall_pricing,False,False
play,com.EAGINsoftware.dejaloYa,1,,lol going subscription after a community builds your platform is 2023 scummy. stop being losers,Vintage Vinyl,2024-01-13 09:17:49,0,6.66.2,QuitNow: Quit smoking for good,. lol going subscription after a community builds your platform is 2023 scummy. stop being losers,subscription_issues,False,False
play,com.EAGINsoftware.dejaloYa,2,,Doesn't do anything much until you pay. Not worth paying that much per month for what's on offer.,David Best,2024-01-10 15:38:30,2,6.66.2,QuitNow: Quit smoking for good,. Doesn't do anything much until you pay. Not worth paying that much per month for what's on offer.,paywall_pricing,False,False
play,com.EAGINsoftware.dejaloYa,1,,No paywall notification pre questionnaire,S Golen,2023-12-04 06:55:26,0,6.66.2,QuitNow: Quit smoking for good,. No paywall notification pre questionnaire,paywall_pricing,False,False
play,com.EAGINsoftware.dejaloYa,1,,No paywall notification pre questionnaire,S Golen,2023-12-04 06:55:26,0,6.66.2,QuitNow: Quit smoking for good,. No paywall notification pre questionnaire,notifications,False,False
play,org.instaquit.app,1,,"first they collect your data by a survey like it is a free app, then they try to sell you an expensive subscription. Even if you don't get the bait, doesnt matter, they already got your data. They can sell this. Total scam.",çağrı cem erel,2026-04-22 07:19:42,0,,QuitSure: Quit Smoking Smartly,". first they collect your data by a survey like it is a free app, then they try to sell you an expensive subscription. Even if you don't get the bait, doesnt matter, they already got your data. They can sell this. Total scam.",paywall_pricing,False,False
play,org.instaquit.app,1,,"first they collect your data by a survey like it is a free app, then they try to sell you an expensive subscription. Even if you don't get the bait, doesnt matter, they already got your data. They can sell this. Total scam.",çağrı cem erel,2026-04-22 07:19:42,0,,QuitSure: Quit Smoking Smartly,". first they collect your data by a survey like it is a free app, then they try to sell you an expensive subscription. Even if you don't get the bait, doesnt matter, they already got your data. They can sell this. Total scam.",subscription_issues,False,False
play,org.instaquit.app,1,,"first they collect your data by a survey like it is a free app, then they try to sell you an expensive subscription. Even if you don't get the bait, doesnt matter, they already got your data. They can sell this. Total scam.",çağrı cem erel,2026-04-22 07:19:42,0,,QuitSure: Quit Smoking Smartly,". first they collect your data by a survey like it is a free app, then they try to sell you an expensive subscription. Even if you don't get the bait, doesnt matter, they already got your data. They can sell this. Total scam.",data_privacy,False,False
play,org.instaquit.app,1,,"I canceled my subscription in the trial period, yet you charged me $43.40! I started a Quit Plan in Minnesota. They told me that there was an app. I selected your app by mistake..I unsubscribed immediately! You billed me in error and I expect a refund. Who runs your app anyway?",Gail Gunderson,2026-04-19 23:13:28,0,9.4,QuitSure: Quit Smoking Smartly,". I canceled my subscription in the trial period, yet you charged me $43.40! I started a Quit Plan in Minnesota. They told me that there was an app. I selected your app by mistake..I unsubscribed immediately! You billed me in error and I expect a refund. Who runs your app anyway?",paywall_pricing,False,False
play,org.instaquit.app,1,,"I canceled my subscription in the trial period, yet you charged me $43.40! I started a Quit Plan in Minnesota. They told me that there was an app. I selected your app by mistake..I unsubscribed immediately! You billed me in error and I expect a refund. Who runs your app anyway?",Gail Gunderson,2026-04-19 23:13:28,0,9.4,QuitSure: Quit Smoking Smartly,". I canceled my subscription in the trial period, yet you charged me $43.40! I started a Quit Plan in Minnesota. They told me that there was an app. I selected your app by mistake..I unsubscribed immediately! You billed me in error and I expect a refund. Who runs your app anyway?",subscription_issues,False,False
play,org.instaquit.app,1,,fake application they told about refund policy later they didn't even respond. please avoid it to use.,Vishal prajapat,2026-04-19 11:49:45,1,9.4,QuitSure: Quit Smoking Smartly,. fake application they told about refund policy later they didn't even respond. please avoid it to use.,paywall_pricing,False,False
play,org.instaquit.app,1,,This app feels like a scam. It forces you to go through the entire program before you can even request a full refund. Don’t be misled by the “no questions asked 30-day refund” claim. The app itself is mostly just filled with write-ups and offers little beyond that.,Saurabh Datta,2026-03-30 15:15:10,0,9.2,QuitSure: Quit Smoking Smartly,. This app feels like a scam. It forces you to go through the entire program before you can even request a full refund. Don’t be misled by the “no questions asked 30-day refund” claim. The app itself is mostly just filled with write-ups and offers little beyond that.,paywall_pricing,False,False
play,org.instaquit.app,1,,for 5 days it tells you how it will make you quit. and then eventually paywall blocks you. cant continue unless you buy premium.,Kirino Senpai,2026-03-28 14:58:13,0,,QuitSure: Quit Smoking Smartly,. for 5 days it tells you how it will make you quit. and then eventually paywall blocks you. cant continue unless you buy premium.,paywall_pricing,False,False
play,org.instaquit.app,1,,scam,Md. Waquar Siddique,2026-03-18 05:08:49,0,9.2,QuitSure: Quit Smoking Smartly,. scam,paywall_pricing,False,False
play,org.instaquit.app,1,,one word: paid scam,Manu George,2026-03-06 20:59:05,0,,QuitSure: Quit Smoking Smartly,. one word: paid scam,paywall_pricing,False,False
play,org.instaquit.app,1,,"Great! Filled a long list of questions, they created for me a personalized program, for what i must pay with subscription. The problem is not that it is paid [but listed as free]. The problem is, that they hide this info before answering all the questions. again: The problem is, that they hide this info before answering all the questions. You are collecting the data from people with your questionnarie. This part of the app is free. for you.",Some Body,2026-03-02 13:03:33,6,8.9,QuitSure: Quit Smoking Smartly,". Great! Filled a long list of questions, they created for me a personalized program, for what i must pay with subscription. The problem is not that it is paid [but listed as free]. The problem is, that they hide this info before answering all the questions. again: The problem is, that they hide this info before answering all the questions. You are collecting the data from people with your questionnarie. This part of the app is free. for you.",subscription_issues,False,False
play,org.instaquit.app,1,,"Great! Filled a long list of questions, they created for me a personalized program, for what i must pay with subscription. The problem is not that it is paid [but listed as free]. The problem is, that they hide this info before answering all the questions. again: The problem is, that they hide this info before answering all the questions. You are collecting the data from people with your questionnarie. This part of the app is free. for you.",Some Body,2026-03-02 13:03:33,6,8.9,QuitSure: Quit Smoking Smartly,". Great! Filled a long list of questions, they created for me a personalized program, for what i must pay with subscription. The problem is not that it is paid [but listed as free]. The problem is, that they hide this info before answering all the questions. again: The problem is, that they hide this info before answering all the questions. You are collecting the data from people with your questionnarie. This part of the app is free. for you.",data_privacy,False,False
play,org.instaquit.app,1,,"they are scamming people, people want to quit smoking because of money, and then the app will give you a plan for quit smoking with money 😂😂😂😂",Nahid Nanil,2026-02-27 08:12:35,0,,QuitSure: Quit Smoking Smartly,". they are scamming people, people want to quit smoking because of money, and then the app will give you a plan for quit smoking with money 😂😂😂😂",paywall_pricing,False,False
play,org.instaquit.app,1,,Not free. They lure you in with all the questions then hit with the subscription nonsense at £50 a month. Uninstalled immediately,Jan OB,2026-02-20 21:01:13,4,8.9,QuitSure: Quit Smoking Smartly,. Not free. They lure you in with all the questions then hit with the subscription nonsense at £50 a month. Uninstalled immediately,subscription_issues,False,False
play,org.instaquit.app,1,,"horrible, big scam. promises refund if you find it unsuccessful with no exceptions noted when you join. cancel and the. told you don't ""qualify"" be ause you have to finish the program that is just wash rinse repeat attempting to hypnotize and use sub conscious. I loathe any company that plays games with their ""guarantee"". charge back on cc with screen shot of said guarantee. they can pay the charge back as well as the refund.",Angelique Giles,2026-02-18 09:09:39,2,8.9,QuitSure: Quit Smoking Smartly,". horrible, big scam. promises refund if you find it unsuccessful with no exceptions noted when you join. cancel and the. told you don't ""qualify"" be ause you have to finish the program that is just wash rinse repeat attempting to hypnotize and use sub conscious. I loathe any company that plays games with their ""guarantee"". charge back on cc with screen shot of said guarantee. they can pay the charge back as well as the refund.",paywall_pricing,False,False
play,org.instaquit.app,1,,Wish it notified me at the beginning of the questions that this is a subscription based service. I just spent 20 minutes answering questions only to find out I have to pay. Please delete my details from your databases and do not share my details. Thanks.,Aled Davies,2026-02-14 22:20:55,5,8.9,QuitSure: Quit Smoking Smartly,. Wish it notified me at the beginning of the questions that this is a subscription based service. I just spent 20 minutes answering questions only to find out I have to pay. Please delete my details from your databases and do not share my details. Thanks.,subscription_issues,True,False
play,org.instaquit.app,1,,Wish it notified me at the beginning of the questions that this is a subscription based service. I just spent 20 minutes answering questions only to find out I have to pay. Please delete my details from your databases and do not share my details. Thanks.,Aled Davies,2026-02-14 22:20:55,5,8.9,QuitSure: Quit Smoking Smartly,. Wish it notified me at the beginning of the questions that this is a subscription based service. I just spent 20 minutes answering questions only to find out I have to pay. Please delete my details from your databases and do not share my details. Thanks.,data_privacy,True,False
play,org.instaquit.app,1,,"keeps repeating justifications to smoke and refute them. one should be training ones mind to think sentences that justify, or explain and commit to a dictate for smoking. im halfway through and they keep telling me reason j might want to smoke and it is counter-productive. the course also tries to hypnotise you into thinking that weening off or any other technique won't work. this is unscrupulous and deeply deceiving. I am angry to have to keep intaking this negative talk to qualify for refund.",M. Renae Dubois,2026-02-12 15:31:53,0,8.9,QuitSure: Quit Smoking Smartly,". keeps repeating justifications to smoke and refute them. one should be training ones mind to think sentences that justify, or explain and commit to a dictate for smoking. im halfway through and they keep telling me reason j might want to smoke and it is counter-productive. the course also tries to hypnotise you into thinking that weening off or any other technique won't work. this is unscrupulous and deeply deceiving. I am angry to have to keep intaking this negative talk to qualify for refund.",paywall_pricing,False,False
play,org.instaquit.app,1,,"I did this program twice. The 1st time, I smoked on day 48 of being smoke free. So, I thought doing it again would work. I went smoke free for 30 days. When I messaged the coach, they wanted me to do extra work. 30 day money back guarantee... Yeah right! I spent $90 total on this plan and for what? To get everything out of it that I could for nothing. This program does not work for everyone. Some people just cannot quit cold turkey. I am one of them. The information was beneficial though.",Cassandra McGowan,2026-02-10 18:11:28,1,8.9,QuitSure: Quit Smoking Smartly,". I did this program twice. The 1st time, I smoked on day 48 of being smoke free. So, I thought doing it again would work. I went smoke free for 30 days. When I messaged the coach, they wanted me to do extra work. 30 day money back guarantee... Yeah right! I spent $90 total on this plan and for what? To get everything out of it that I could for nothing. This program does not work for everyone. Some people just cannot quit cold turkey. I am one of them. The information was beneficial though.",crashes_bugs,False,False
play,org.instaquit.app,1,,Doesn't work. don't waste money. even if you do read carefully there refund policy,Abhishek Ray,2026-01-30 14:36:01,0,8.9,QuitSure: Quit Smoking Smartly,. Doesn't work. don't waste money. even if you do read carefully there refund policy,crashes_bugs,False,False
play,org.instaquit.app,1,,Doesn't work. don't waste money. even if you do read carefully there refund policy,Abhishek Ray,2026-01-30 14:36:01,0,8.9,QuitSure: Quit Smoking Smartly,. Doesn't work. don't waste money. even if you do read carefully there refund policy,paywall_pricing,False,False
play,org.instaquit.app,2,,the subscription plan cost me more than my cigarettes consumption 😆,Zhuravli,2026-01-30 09:58:17,1,,QuitSure: Quit Smoking Smartly,. the subscription plan cost me more than my cigarettes consumption 😆,subscription_issues,False,False
play,org.instaquit.app,1,,subscription lene ko bolega pher uninstall krke ek or cigarette peni padti hai tension mein. 😭,Mr Hitesh Rawat,2026-01-24 01:00:58,1,,QuitSure: Quit Smoking Smartly,. subscription lene ko bolega pher uninstall krke ek or cigarette peni padti hai tension mein. 😭,subscription_issues,False,False
play,org.instaquit.app,1,,you take a long quiz and at the end they tell you you have to pay to continue using the app. you better say it from beginning.,Ahmed Obeidat,2026-01-19 17:02:26,0,,QuitSure: Quit Smoking Smartly,. you take a long quiz and at the end they tell you you have to pay to continue using the app. you better say it from beginning.,paywall_pricing,False,False
play,org.instaquit.app,1,,expensive and auto-renewing subscription. no more effective than any other method if quitting but very costly. feels predatory tbh.,default gmail,2026-01-14 18:50:44,1,,QuitSure: Quit Smoking Smartly,. expensive and auto-renewing subscription. no more effective than any other method if quitting but very costly. feels predatory tbh.,paywall_pricing,False,False
play,org.instaquit.app,1,,expensive and auto-renewing subscription. no more effective than any other method if quitting but very costly. feels predatory tbh.,default gmail,2026-01-14 18:50:44,1,,QuitSure: Quit Smoking Smartly,. expensive and auto-renewing subscription. no more effective than any other method if quitting but very costly. feels predatory tbh.,subscription_issues,False,False
play,org.instaquit.app,1,,expensive should be free,CeeLee Bee,2026-01-08 07:56:22,0,8.7,QuitSure: Quit Smoking Smartly,. expensive should be free,paywall_pricing,False,False
play,org.instaquit.app,1,,"i won't believe ever an app THAT HAS A PAYWALL. And especially a paywall that takes advantage of people in weakness. at least, if u have 1% humanity, give me an hour of trial before charging me 50€. ofc i QUITSURE your app. hope you'll be addicted to worse stuff than nicotine and no one would help you :)",Razvan Marinca (BLK),2026-01-07 04:38:54,5,8.7,QuitSure: Quit Smoking Smartly,". i won't believe ever an app THAT HAS A PAYWALL. And especially a paywall that takes advantage of people in weakness. at least, if u have 1% humanity, give me an hour of trial before charging me 50€. ofc i QUITSURE your app. hope you'll be addicted to worse stuff than nicotine and no one would help you :)",paywall_pricing,False,False
play,org.instaquit.app,1,,"i won't believe ever an app THAT HAS A PAYWALL. And especially a paywall that takes advantage of people in weakness. at least, if u have 1% humanity, give me an hour of trial before charging me 50€. ofc i QUITSURE your app. hope you'll be addicted to worse stuff than nicotine and no one would help you :)",Razvan Marinca (BLK),2026-01-07 04:38:54,5,8.7,QuitSure: Quit Smoking Smartly,". i won't believe ever an app THAT HAS A PAYWALL. And especially a paywall that takes advantage of people in weakness. at least, if u have 1% humanity, give me an hour of trial before charging me 50€. ofc i QUITSURE your app. hope you'll be addicted to worse stuff than nicotine and no one would help you :)",subscription_issues,False,False
play,org.instaquit.app,1,,"79€ per month for subscription is predatory pricing feeding of vulnerable people who are willing to try anything to quit smoking. Might work for some people, just know that you're not missing any secret knowledge if you decide not to go with it.",Roman Marek,2026-01-05 18:27:14,1,,QuitSure: Quit Smoking Smartly,". 79€ per month for subscription is predatory pricing feeding of vulnerable people who are willing to try anything to quit smoking. Might work for some people, just know that you're not missing any secret knowledge if you decide not to go with it.",subscription_issues,True,False
play,org.instaquit.app,1,,it's not for free. they ask for tons of personal data which you must deliver in order to learn IT'S NOT FOR FREE. Lousy and unethical marketing technique. Do nor download unless you're willing to pay.,Carolina Gonzalez Rodriguez,2026-01-05 17:39:15,1,,QuitSure: Quit Smoking Smartly,. it's not for free. they ask for tons of personal data which you must deliver in order to learn IT'S NOT FOR FREE. Lousy and unethical marketing technique. Do nor download unless you're willing to pay.,data_privacy,False,False
play,org.instaquit.app,1,,Gimmick to earn money . App asked to sign in and fill details and directly displayed to buy subscription 😂 atleast you should have given any tip trick or something to gain trust. Making an eye catchy advertisement is not everything. After seeing their subscription plan i smoked 2 more out of anger 😂,Magician ad,2026-01-04 12:10:44,6,8.7,QuitSure: Quit Smoking Smartly,. Gimmick to earn money . App asked to sign in and fill details and directly displayed to buy subscription 😂 atleast you should have given any tip trick or something to gain trust. Making an eye catchy advertisement is not everything. After seeing their subscription plan i smoked 2 more out of anger 😂,subscription_issues,True,False
play,org.instaquit.app,1,,Gimmick to earn money . App asked to sign in and fill details and directly displayed to buy subscription 😂 atleast you should have given any tip trick or something to gain trust. Making an eye catchy advertisement is not everything. After seeing their subscription plan i smoked 2 more out of anger 😂,Magician ad,2026-01-04 12:10:44,6,8.7,QuitSure: Quit Smoking Smartly,. Gimmick to earn money . App asked to sign in and fill details and directly displayed to buy subscription 😂 atleast you should have given any tip trick or something to gain trust. Making an eye catchy advertisement is not everything. After seeing their subscription plan i smoked 2 more out of anger 😂,ads,True,False
play,org.instaquit.app,1,,Gimmick to earn money . App asked to sign in and fill details and directly displayed to buy subscription 😂 atleast you should have given any tip trick or something to gain trust. Making an eye catchy advertisement is not everything. After seeing their subscription plan i smoked 2 more out of anger 😂,Magician ad,2026-01-04 12:10:44,6,8.7,QuitSure: Quit Smoking Smartly,. Gimmick to earn money . App asked to sign in and fill details and directly displayed to buy subscription 😂 atleast you should have given any tip trick or something to gain trust. Making an eye catchy advertisement is not everything. After seeing their subscription plan i smoked 2 more out of anger 😂,login_account,True,False
play,org.instaquit.app,1,,subscription cost more than I smoke daily,Muhammad Irfan. s,2026-01-03 19:12:04,0,,QuitSure: Quit Smoking Smartly,. subscription cost more than I smoke daily,subscription_issues,False,False
play,org.instaquit.app,1,,need to pay to quit which is stuiped,Ryan Els,2026-01-02 03:36:50,0,,QuitSure: Quit Smoking Smartly,. need to pay to quit which is stuiped,paywall_pricing,False,False
play,org.instaquit.app,1,,payment gone and app not working,Jeeve Thomas,2025-12-30 23:00:54,1,8.6,QuitSure: Quit Smoking Smartly,. payment gone and app not working,crashes_bugs,False,False
play,org.instaquit.app,1,,BE CAREFUL - They will try to charge you right away when you sign up forthefree trial,William,2025-12-27 00:09:43,1,8.6,QuitSure: Quit Smoking Smartly,. BE CAREFUL - They will try to charge you right away when you sign up forthefree trial,paywall_pricing,False,False
play,org.instaquit.app,1,,BE CAREFUL - They will try to charge you right away when you sign up forthefree trial,William,2025-12-27 00:09:43,1,8.6,QuitSure: Quit Smoking Smartly,. BE CAREFUL - They will try to charge you right away when you sign up forthefree trial,subscription_issues,False,False
play,org.instaquit.app,1,,BE CAREFUL - They will try to charge you right away when you sign up forthefree trial,William,2025-12-27 00:09:43,1,8.6,QuitSure: Quit Smoking Smartly,. BE CAREFUL - They will try to charge you right away when you sign up forthefree trial,login_account,False,False
play,net.offlinefirst.flamy,1,,great app but should be stated in the description that you can't use it without a subscription,Jakub Klucznik,2026-01-18 13:43:08,0,,"Quit Smoking, Smoke-free Flamy",. great app but should be stated in the description that you can't use it without a subscription,subscription_issues,False,False
play,net.offlinefirst.flamy,1,,The app is not free you only get a trial for 3 days,Amy paterson,2026-01-02 21:31:00,0,,"Quit Smoking, Smoke-free Flamy",. The app is not free you only get a trial for 3 days,subscription_issues,False,False
play,net.offlinefirst.flamy,1,,Immediately hit a paywall. Can do free trial but it is not free.,Anthony Lusich,2025-10-10 03:48:40,0,,"Quit Smoking, Smoke-free Flamy",. Immediately hit a paywall. Can do free trial but it is not free.,paywall_pricing,False,False
play,net.offlinefirst.flamy,1,,Immediately hit a paywall. Can do free trial but it is not free.,Anthony Lusich,2025-10-10 03:48:40,0,,"Quit Smoking, Smoke-free Flamy",. Immediately hit a paywall. Can do free trial but it is not free.,subscription_issues,False,False
play,net.offlinefirst.flamy,1,,it won't let me delete account,adrian adams,2025-08-03 06:31:26,0,9.2.5,"Quit Smoking, Smoke-free Flamy",. it won't let me delete account,login_account,False,False
